sorghum3	maize1_v4
Sobic.006G257700	Zm00001d001915
Sobic.006G257500	Zm00001d001924
Sobic.006G257400	Zm00001d001927
Sobic.006G257200	Zm00001d001928
Sobic.006G257001	Zm00001d001929
Sobic.006G256700	Zm00001d001931
Sobic.006G256600	Zm00001d001932
Sobic.006G256500	Zm00001d001933
Sobic.006G256400	Zm00001d001934
Sobic.006G256300	Zm00001d001935
Sobic.006G256200	Zm00001d001936
Sobic.006G256100	Zm00001d001937
Sobic.006G255900	Zm00001d001939
Sobic.006G255800	Zm00001d001940
Sobic.006G255600	Zm00001d001941
Sobic.006G255500	Zm00001d001943
Sobic.006G255400	Zm00001d001944
Sobic.006G255300	Zm00001d001945
Sobic.006G255100	Zm00001d001946
Sobic.006G255000	Zm00001d001947
Sobic.006G254900	Zm00001d001948
Sobic.006G254800	Zm00001d001949
Sobic.006G254700	Zm00001d001951
Sobic.006G254600	Zm00001d001952
Sobic.006G253200	Zm00001d001953
Sobic.006G254500	Zm00001d001953
Sobic.006G254100	Zm00001d001959
Sobic.006G253900	Zm00001d001960
Sobic.006G254000	Zm00001d001960
Sobic.006G253801	Zm00001d001961
Sobic.006G252900	Zm00001d001962
Sobic.006G252600	Zm00001d001963
Sobic.006G253300	Zm00001d001963
Sobic.006G253700	Zm00001d001963
Sobic.006G252466	Zm00001d001964
Sobic.006G252400	Zm00001d001965
Sobic.006G252200	Zm00001d001966
Sobic.006G252100	Zm00001d001967
Sobic.006G251900	Zm00001d001968
Sobic.006G251800	Zm00001d001970
Sobic.006G251701	Zm00001d001972
Sobic.006G251600	Zm00001d001973
Sobic.006G251500	Zm00001d001974
Sobic.006G251200	Zm00001d001976
Sobic.006G251100	Zm00001d001977
Sobic.006G251000	Zm00001d001978
Sobic.006G250900	Zm00001d001979
Sobic.006G250800	Zm00001d001980
Sobic.006G250500	Zm00001d001982
Sobic.006G250300	Zm00001d001983
Sobic.006G250200	Zm00001d001984
Sobic.006G250100	Zm00001d001987
Sobic.006G249700	Zm00001d001988
Sobic.006G249300	Zm00001d001989
Sobic.006G249100	Zm00001d001990
Sobic.006G249000	Zm00001d001993
Sobic.006G248900	Zm00001d001994
Sobic.006G248700	Zm00001d001995
Sobic.006G248600	Zm00001d001996
Sobic.006G248500	Zm00001d001997
Sobic.006G248400	Zm00001d001999
Sobic.006G248300	Zm00001d002000
Sobic.006G248200	Zm00001d002001
Sobic.006G247900	Zm00001d002003
Sobic.006G247800	Zm00001d002004
Sobic.006G247700	Zm00001d002005
Sobic.006G247100	Zm00001d002006
Sobic.006G247000	Zm00001d002011
Sobic.006G246900	Zm00001d002012
Sobic.006G246400	Zm00001d002013
Sobic.006G246500	Zm00001d002013
Sobic.006G246600	Zm00001d002014
Sobic.006G246300	Zm00001d002019
Sobic.006G246200	Zm00001d002020
Sobic.006G246100	Zm00001d002021
Sobic.006G245100	Zm00001d002022
Sobic.006G245400	Zm00001d002024
Sobic.006G245500	Zm00001d002025
Sobic.006G245600	Zm00001d002026
Sobic.006G245700	Zm00001d002027
Sobic.006G244900	Zm00001d002028
Sobic.006G244800	Zm00001d002029
Sobic.006G244700	Zm00001d002034
Sobic.006G244400	Zm00001d002035
Sobic.006G244500	Zm00001d002035
Sobic.006G244300	Zm00001d002036
Sobic.006G244100	Zm00001d002037
Sobic.006G244000	Zm00001d002038
Sobic.006G243700	Zm00001d002039
Sobic.006G243800	Zm00001d002039
Sobic.006G243900	Zm00001d002039
Sobic.006G243600	Zm00001d002042
Sobic.006G243500	Zm00001d002046
Sobic.006G243400	Zm00001d002051
Sobic.006G243200	Zm00001d002052
Sobic.006G243100	Zm00001d002053
Sobic.006G243000	Zm00001d002054
Sobic.006G242500	Zm00001d002056
Sobic.006G242600	Zm00001d002057
Sobic.006G242701	Zm00001d002057
Sobic.006G242800	Zm00001d002057
Sobic.006G242401	Zm00001d002058
Sobic.006G242200	Zm00001d002063
Sobic.006G242900	Zm00001d002063
Sobic.006G242100	Zm00001d002064
Sobic.006G242000	Zm00001d002065
Sobic.006G241900	Zm00001d002066
Sobic.006G241800	Zm00001d002068
Sobic.006G241600	Zm00001d002069
Sobic.006G241350	Zm00001d002071
Sobic.006G241400	Zm00001d002071
Sobic.006G241300	Zm00001d002072
Sobic.006G241200	Zm00001d002074
Sobic.006G240700	Zm00001d002075
Sobic.006G240500	Zm00001d002079
Sobic.006G240400	Zm00001d002080
Sobic.006G240300	Zm00001d002082
Sobic.006G240200	Zm00001d002083
Sobic.006G240100	Zm00001d002084
Sobic.006G239800	Zm00001d002085
Sobic.006G239400	Zm00001d002086
Sobic.006G239300	Zm00001d002087
Sobic.006G239100	Zm00001d002088
Sobic.006G239000	Zm00001d002089
Sobic.006G238700	Zm00001d002090
Sobic.006G238600	Zm00001d002091
Sobic.006G238100	Zm00001d002093
Sobic.006G238000	Zm00001d002094
Sobic.006G237900	Zm00001d002095
Sobic.006G237800	Zm00001d002096
Sobic.006G237600	Zm00001d002097
Sobic.006G237500	Zm00001d002098
Sobic.006G237400	Zm00001d002099
Sobic.006G236900	Zm00001d002100
Sobic.006G237300	Zm00001d002100
Sobic.006G237000	Zm00001d002103
Sobic.006G237100	Zm00001d002104
Sobic.006G237200	Zm00001d002105
Sobic.006G236800	Zm00001d002115
Sobic.006G236700	Zm00001d002119
Sobic.006G236600	Zm00001d002121
Sobic.006G236500	Zm00001d002122
Sobic.006G236400	Zm00001d002123
Sobic.006G236300	Zm00001d002124
Sobic.006G236000	Zm00001d002125
Sobic.006G235800	Zm00001d002126
Sobic.006G235500	Zm00001d002128
Sobic.006G235400	Zm00001d002129
Sobic.006G235350	Zm00001d002130
Sobic.006G235300	Zm00001d002131
Sobic.006G234800	Zm00001d002132
Sobic.006G234850	Zm00001d002132
Sobic.006G235100	Zm00001d002132
Sobic.006G234900	Zm00001d002133
Sobic.006G235000	Zm00001d002133
Sobic.006G234700	Zm00001d002135
Sobic.006G234400	Zm00001d002136
Sobic.006G234300	Zm00001d002137
Sobic.006G234200	Zm00001d002138
Sobic.006G233800	Zm00001d002139
Sobic.006G233000	Zm00001d002140
Sobic.006G233300	Zm00001d002141
Sobic.006G233500	Zm00001d002143
Sobic.006G233600	Zm00001d002144
Sobic.006G232800	Zm00001d002145
Sobic.006G232700	Zm00001d002146
Sobic.006G232400	Zm00001d002147
Sobic.006G232200	Zm00001d002148
Sobic.006G232000	Zm00001d002149
Sobic.006G232100	Zm00001d002150
Sobic.006G231900	Zm00001d002153
Sobic.006G231800	Zm00001d002154
Sobic.006G231700	Zm00001d002155
Sobic.006G231500	Zm00001d002156
Sobic.006G231600	Zm00001d002156
Sobic.006G231400	Zm00001d002157
Sobic.006G230900	Zm00001d002158
Sobic.006G230800	Zm00001d002160
Sobic.006G231100	Zm00001d002160
Sobic.006G231200	Zm00001d002160
Sobic.006G231332	Zm00001d002160
Sobic.006G230700	Zm00001d002161
Sobic.006G230400	Zm00001d002163
Sobic.006G230300	Zm00001d002167
Sobic.006G229901	Zm00001d002168
Sobic.006G230100	Zm00001d002168
Sobic.006G230200	Zm00001d002168
Sobic.006G228833	Zm00001d002172
Sobic.006G229600	Zm00001d002172
Sobic.006G229100	Zm00001d002173
Sobic.006G229200	Zm00001d002173
Sobic.006G229300	Zm00001d002173
Sobic.006G229500	Zm00001d002173
Sobic.006G229800	Zm00001d002173
Sobic.006G228700	Zm00001d002175
Sobic.006G228400	Zm00001d002181
Sobic.006G225300	Zm00001d002184
Sobic.006G225400	Zm00001d002185
Sobic.006G226200	Zm00001d002186
Sobic.006G226300	Zm00001d002190
Sobic.006G227900	Zm00001d002191
Sobic.006G228100	Zm00001d002193
Sobic.006G228200	Zm00001d002199
Sobic.006G228300	Zm00001d002200
Sobic.006G224000	Zm00001d002202
Sobic.006G223500	Zm00001d002204
Sobic.006G223900	Zm00001d002209
Sobic.006G223700	Zm00001d002224
Sobic.006G225100	Zm00001d002225
Sobic.006G224600	Zm00001d002227
Sobic.006G223300	Zm00001d002234
Sobic.006G223200	Zm00001d002235
Sobic.006G222700	Zm00001d002240
Sobic.006G222600	Zm00001d002241
Sobic.006G222500	Zm00001d002243
Sobic.006G222400	Zm00001d002244
Sobic.006G222100	Zm00001d002246
Sobic.006G221700	Zm00001d002247
Sobic.006G221900	Zm00001d002247
Sobic.006G222000	Zm00001d002247
Sobic.006G222200	Zm00001d002247
Sobic.006G221600	Zm00001d002250
Sobic.006G221850	Zm00001d002250
Sobic.006G221300	Zm00001d002252
Sobic.006G221200	Zm00001d002253
Sobic.006G221101	Zm00001d002255
Sobic.006G221000	Zm00001d002256
Sobic.006G220900	Zm00001d002257
Sobic.006G220800	Zm00001d002258
Sobic.006G220700	Zm00001d002259
Sobic.006G220600	Zm00001d002260
Sobic.006G220500	Zm00001d002261
Sobic.006G220200	Zm00001d002266
Sobic.006G220000	Zm00001d002267
Sobic.006G219700	Zm00001d002271
Sobic.006G219600	Zm00001d002272
Sobic.006G219500	Zm00001d002274
Sobic.006G219300	Zm00001d002275
Sobic.006G219200	Zm00001d002277
Sobic.006G219100	Zm00001d002278
Sobic.006G219000	Zm00001d002279
Sobic.006G218900	Zm00001d002282
Sobic.006G218700	Zm00001d002283
Sobic.006G218400	Zm00001d002284
Sobic.006G218600	Zm00001d002284
Sobic.006G218300	Zm00001d002285
Sobic.006G218000	Zm00001d002286
Sobic.006G217900	Zm00001d002287
Sobic.006G217800	Zm00001d002288
Sobic.006G217300	Zm00001d002292
Sobic.006G217100	Zm00001d002295
Sobic.006G217000	Zm00001d002296
Sobic.006G216900	Zm00001d002301
Sobic.006G216700	Zm00001d002302
Sobic.006G216500	Zm00001d002304
Sobic.006G215600	Zm00001d002312
Sobic.006G215400	Zm00001d002313
Sobic.006G215300	Zm00001d002314
Sobic.006G215100	Zm00001d002315
Sobic.006G215000	Zm00001d002316
Sobic.006G214700	Zm00001d002317
Sobic.006G214600	Zm00001d002318
Sobic.006G214500	Zm00001d002319
Sobic.006G214400	Zm00001d002323
Sobic.006G214300	Zm00001d002325
Sobic.006G214200	Zm00001d002326
Sobic.006G214000	Zm00001d002330
Sobic.006G213700	Zm00001d002332
Sobic.006G213800	Zm00001d002332
Sobic.006G213500	Zm00001d002333
Sobic.006G213400	Zm00001d002334
Sobic.006G213100	Zm00001d002338
Sobic.006G213000	Zm00001d002339
Sobic.006G212900	Zm00001d002340
Sobic.006G212800	Zm00001d002341
Sobic.006G212400	Zm00001d002342
Sobic.006G212200	Zm00001d002343
Sobic.006G212100	Zm00001d002344
Sobic.006G212000	Zm00001d002345
Sobic.006G211900	Zm00001d002346
Sobic.006G211701	Zm00001d002347
Sobic.006G211600	Zm00001d002348
Sobic.006G211500	Zm00001d002349
Sobic.006G211400	Zm00001d002351
Sobic.006G211200	Zm00001d002352
Sobic.006G211000	Zm00001d002353
Sobic.006G210900	Zm00001d002357
Sobic.006G210800	Zm00001d002358
Sobic.006G210700	Zm00001d002359
Sobic.006G210500	Zm00001d002360
Sobic.006G210400	Zm00001d002362
Sobic.006G210300	Zm00001d002364
Sobic.006G209500	Zm00001d002366
Sobic.006G209400	Zm00001d002369
Sobic.006G209000	Zm00001d002370
Sobic.006G209200	Zm00001d002370
Sobic.006G209300	Zm00001d002370
Sobic.006G208900	Zm00001d002371
Sobic.006G208800	Zm00001d002372
Sobic.006G208500	Zm00001d002373
Sobic.006G208300	Zm00001d002374
Sobic.006G208200	Zm00001d002377
Sobic.006G208100	Zm00001d002378
Sobic.006G207900	Zm00001d002382
Sobic.006G207800	Zm00001d002384
Sobic.006G207700	Zm00001d002385
Sobic.006G207600	Zm00001d002386
Sobic.006G207500	Zm00001d002387
Sobic.006G207200	Zm00001d002388
Sobic.006G207300	Zm00001d002390
Sobic.006G207400	Zm00001d002391
Sobic.006G207000	Zm00001d002394
Sobic.006G207100	Zm00001d002394
Sobic.006G206500	Zm00001d002395
Sobic.006G206900	Zm00001d002395
Sobic.006G206800	Zm00001d002396
Sobic.006G206700	Zm00001d002402
Sobic.006G206600	Zm00001d002403
Sobic.006G206000	Zm00001d002405
Sobic.006G205800	Zm00001d002406
Sobic.006G205700	Zm00001d002409
Sobic.006G205600	Zm00001d002410
Sobic.006G205500	Zm00001d002412
Sobic.006G205400	Zm00001d002413
Sobic.006G205200	Zm00001d002415
Sobic.006G205100	Zm00001d002416
Sobic.006G204900	Zm00001d002418
Sobic.006G204800	Zm00001d002419
Sobic.006G204700	Zm00001d002420
Sobic.006G204600	Zm00001d002421
Sobic.006G204500	Zm00001d002422
Sobic.006G204400	Zm00001d002423
Sobic.006G204300	Zm00001d002424
Sobic.006G204200	Zm00001d002425
Sobic.006G204000	Zm00001d002426
Sobic.006G203800	Zm00001d002427
Sobic.006G203600	Zm00001d002428
Sobic.006G203400	Zm00001d002429
Sobic.006G203300	Zm00001d002431
Sobic.006G203200	Zm00001d002432
Sobic.006G203100	Zm00001d002433
Sobic.006G203000	Zm00001d002434
Sobic.006G202600	Zm00001d002435
Sobic.006G202500	Zm00001d002436
Sobic.006G202300	Zm00001d002439
Sobic.006G202200	Zm00001d002440
Sobic.006G201900	Zm00001d002441
Sobic.006G201800	Zm00001d002444
Sobic.006G201700	Zm00001d002447
Sobic.006G201600	Zm00001d002449
Sobic.006G201500	Zm00001d002450
Sobic.006G201400	Zm00001d002451
Sobic.006G201000	Zm00001d002452
Sobic.006G200800	Zm00001d002454
Sobic.006G200600	Zm00001d002456
Sobic.006G200400	Zm00001d002457
Sobic.006G200100	Zm00001d002474
Sobic.006G200200	Zm00001d002474
Sobic.006G200000	Zm00001d002475
Sobic.006G199800	Zm00001d002476
Sobic.006G199400	Zm00001d002477
Sobic.006G199200	Zm00001d002478
Sobic.006G199000	Zm00001d002479
Sobic.006G199100	Zm00001d002479
Sobic.006G198700	Zm00001d002482
Sobic.006G198600	Zm00001d002483
Sobic.006G198300	Zm00001d002485
Sobic.006G197900	Zm00001d002488
Sobic.006G197800	Zm00001d002489
Sobic.006G197700	Zm00001d002490
Sobic.006G197600	Zm00001d002491
Sobic.006G197400	Zm00001d002492
Sobic.006G197500	Zm00001d002492
Sobic.006G197200	Zm00001d002494
Sobic.006G197100	Zm00001d002495
Sobic.006G197000	Zm00001d002496
Sobic.006G196400	Zm00001d002498
Sobic.006G196300	Zm00001d002499
Sobic.006G196200	Zm00001d002500
Sobic.006G196000	Zm00001d002501
Sobic.006G195800	Zm00001d002503
Sobic.006G195700	Zm00001d002504
Sobic.006G195600	Zm00001d002505
Sobic.006G195500	Zm00001d002510
Sobic.006G195400	Zm00001d002512
Sobic.006G195200	Zm00001d002514
Sobic.006G195000	Zm00001d002515
Sobic.006G194800	Zm00001d002517
Sobic.006G194900	Zm00001d002517
Sobic.006G194700	Zm00001d002519
Sobic.006G194200	Zm00001d002520
Sobic.006G194300	Zm00001d002520
Sobic.006G194100	Zm00001d002521
Sobic.006G194000	Zm00001d002522
Sobic.006G193700	Zm00001d002523
Sobic.006G193900	Zm00001d002523
Sobic.006G193600	Zm00001d002530
Sobic.006G193400	Zm00001d002531
Sobic.006G193200	Zm00001d002532
Sobic.006G193100	Zm00001d002534
Sobic.006G193000	Zm00001d002535
Sobic.006G192900	Zm00001d002536
Sobic.006G192800	Zm00001d002537
Sobic.006G192700	Zm00001d002538
Sobic.006G192600	Zm00001d002539
Sobic.006G192500	Zm00001d002540
Sobic.006G192400	Zm00001d002541
Sobic.006G192200	Zm00001d002542
Sobic.006G191900	Zm00001d002544
Sobic.006G192100	Zm00001d002545
Sobic.006G191800	Zm00001d002546
Sobic.006G191700	Zm00001d002548
Sobic.006G191600	Zm00001d002549
Sobic.006G191500	Zm00001d002550
Sobic.006G190900	Zm00001d002553
Sobic.006G191000	Zm00001d002553
Sobic.006G191200	Zm00001d002553
Sobic.006G190850	Zm00001d002556
Sobic.006G190700	Zm00001d002557
Sobic.006G190600	Zm00001d002558
Sobic.006G190400	Zm00001d002562
Sobic.006G190100	Zm00001d002564
Sobic.006G189900	Zm00001d002565
Sobic.006G189700	Zm00001d002568
Sobic.006G189400	Zm00001d002569
Sobic.006G189000	Zm00001d002570
Sobic.006G189200	Zm00001d002570
Sobic.006G189300	Zm00001d002570
Sobic.006G188900	Zm00001d002573
Sobic.006G188700	Zm00001d002576
Sobic.006G188600	Zm00001d002579
Sobic.006G188500	Zm00001d002580
Sobic.006G188400	Zm00001d002584
Sobic.006G188200	Zm00001d002589
Sobic.006G188100	Zm00001d002590
Sobic.006G188000	Zm00001d002591
Sobic.006G187900	Zm00001d002592
Sobic.006G187800	Zm00001d002593
Sobic.006G187600	Zm00001d002594
Sobic.006G187500	Zm00001d002595
Sobic.006G187401	Zm00001d002596
Sobic.006G187200	Zm00001d002597
Sobic.006G187100	Zm00001d002598
Sobic.006G187000	Zm00001d002599
Sobic.006G186800	Zm00001d002600
Sobic.006G186700	Zm00001d002601
Sobic.006G186600	Zm00001d002602
Sobic.006G186400	Zm00001d002603
Sobic.006G186500	Zm00001d002603
Sobic.006G186300	Zm00001d002607
Sobic.006G186100	Zm00001d002609
Sobic.006G186200	Zm00001d002609
Sobic.006G185900	Zm00001d002610
Sobic.006G186000	Zm00001d002610
Sobic.006G185700	Zm00001d002611
Sobic.006G185600	Zm00001d002613
Sobic.006G185500	Zm00001d002614
Sobic.006G185100	Zm00001d002615
Sobic.006G185000	Zm00001d002616
Sobic.006G184900	Zm00001d002617
Sobic.006G184800	Zm00001d002618
Sobic.006G184700	Zm00001d002620
Sobic.006G184500	Zm00001d002621
Sobic.006G184400	Zm00001d002623
Sobic.006G184200	Zm00001d002624
Sobic.006G184100	Zm00001d002625
Sobic.006G184000	Zm00001d002626
Sobic.006G183900	Zm00001d002629
Sobic.006G183600	Zm00001d002630
Sobic.006G183500	Zm00001d002631
Sobic.006G183400	Zm00001d002632
Sobic.006G183000	Zm00001d002639
Sobic.006G182900	Zm00001d002640
Sobic.006G182500	Zm00001d002641
Sobic.006G182300	Zm00001d002642
Sobic.006G181800	Zm00001d002644
Sobic.006G181600	Zm00001d002649
Sobic.006G181000	Zm00001d002650
Sobic.006G180900	Zm00001d002654
Sobic.006G180700	Zm00001d002656
Sobic.006G179900	Zm00001d002658
Sobic.006G179800	Zm00001d002659
Sobic.006G179600	Zm00001d002661
Sobic.006G179200	Zm00001d002662
Sobic.006G179100	Zm00001d002663
Sobic.006G179000	Zm00001d002668
Sobic.006G178800	Zm00001d002669
Sobic.006G178500	Zm00001d002673
Sobic.006G178200	Zm00001d002675
Sobic.006G178300	Zm00001d002675
Sobic.006G178100	Zm00001d002676
Sobic.006G178000	Zm00001d002677
Sobic.006G177800	Zm00001d002678
Sobic.006G177700	Zm00001d002679
Sobic.006G177400	Zm00001d002680
Sobic.006G177300	Zm00001d002682
Sobic.006G177200	Zm00001d002684
Sobic.006G177100	Zm00001d002685
Sobic.006G177000	Zm00001d002687
Sobic.006G176800	Zm00001d002688
Sobic.006G176700	Zm00001d002690
Sobic.006G176600	Zm00001d002694
Sobic.006G176500	Zm00001d002695
Sobic.006G176400	Zm00001d002696
Sobic.006G176300	Zm00001d002699
Sobic.006G176100	Zm00001d002700
Sobic.006G174850	Zm00001d002703
Sobic.006G173900	Zm00001d002704
Sobic.006G173800	Zm00001d002705
Sobic.006G174000	Zm00001d002707
Sobic.006G174300	Zm00001d002707
Sobic.006G174400	Zm00001d002707
Sobic.006G174500	Zm00001d002707
Sobic.006G174600	Zm00001d002707
Sobic.006G173700	Zm00001d002708
Sobic.006G173600	Zm00001d002711
Sobic.006G173500	Zm00001d002713
Sobic.006G173400	Zm00001d002714
Sobic.006G173200	Zm00001d002715
Sobic.006G173100	Zm00001d002716
Sobic.006G172900	Zm00001d002718
Sobic.006G172800	Zm00001d002720
Sobic.006G172550	Zm00001d002721
Sobic.006G172601	Zm00001d002721
Sobic.006G172700	Zm00001d002721
Sobic.006G172400	Zm00001d002723
Sobic.006G172200	Zm00001d002725
Sobic.006G172000	Zm00001d002726
Sobic.006G171900	Zm00001d002727
Sobic.006G171801	Zm00001d002729
Sobic.006G171700	Zm00001d002730
Sobic.006G171600	Zm00001d002731
Sobic.006G171500	Zm00001d002732
Sobic.006G171400	Zm00001d002733
Sobic.006G170200	Zm00001d002734
Sobic.006G170300	Zm00001d002736
Sobic.006G170500	Zm00001d002738
Sobic.006G170600	Zm00001d002738
Sobic.006G170700	Zm00001d002739
Sobic.006G170800	Zm00001d002741
Sobic.006G170900	Zm00001d002742
Sobic.006G171050	Zm00001d002743
Sobic.006G170100	Zm00001d002744
Sobic.006G170000	Zm00001d002747
Sobic.006G169900	Zm00001d002748
Sobic.006G169700	Zm00001d002750
Sobic.006G169500	Zm00001d002751
Sobic.006G169200	Zm00001d002754
Sobic.006G169000	Zm00001d002755
Sobic.006G168900	Zm00001d002756
Sobic.006G168800	Zm00001d002757
Sobic.006G168400	Zm00001d002758
Sobic.006G168300	Zm00001d002759
Sobic.006G168100	Zm00001d002760
Sobic.006G168200	Zm00001d002760
Sobic.006G167900	Zm00001d002761
Sobic.006G168000	Zm00001d002761
Sobic.006G167800	Zm00001d002762
Sobic.006G167700	Zm00001d002768
Sobic.006G167500	Zm00001d002770
Sobic.006G166800	Zm00001d002772
Sobic.006G166700	Zm00001d002773
Sobic.006G166601	Zm00001d002774
Sobic.006G164400	Zm00001d002775
Sobic.006G164500	Zm00001d002776
Sobic.006G164900	Zm00001d002778
Sobic.006G165000	Zm00001d002781
Sobic.006G165100	Zm00001d002782
Sobic.006G165300	Zm00001d002783
Sobic.006G165501	Zm00001d002784
Sobic.006G165800	Zm00001d002787
Sobic.006G165900	Zm00001d002788
Sobic.006G166000	Zm00001d002789
Sobic.006G166100	Zm00001d002790
Sobic.006G166200	Zm00001d002791
Sobic.006G166300	Zm00001d002794
Sobic.006G166400	Zm00001d002796
Sobic.006G164200	Zm00001d002797
Sobic.006G164300	Zm00001d002797
Sobic.006G164100	Zm00001d002798
Sobic.006G163900	Zm00001d002799
Sobic.006G163600	Zm00001d002801
Sobic.006G163401	Zm00001d002802
Sobic.006G163200	Zm00001d002803
Sobic.006G163100	Zm00001d002806
Sobic.006G163000	Zm00001d002810
Sobic.006G162800	Zm00001d002811
Sobic.006G162400	Zm00001d002812
Sobic.006G162600	Zm00001d002812
Sobic.006G162300	Zm00001d002814
Sobic.006G162200	Zm00001d002815
Sobic.006G162100	Zm00001d002816
Sobic.006G162000	Zm00001d002817
Sobic.006G161900	Zm00001d002819
Sobic.006G161800	Zm00001d002820
Sobic.006G161600	Zm00001d002821
Sobic.006G161500	Zm00001d002822
Sobic.006G161400	Zm00001d002823
Sobic.006G161300	Zm00001d002824
Sobic.006G161200	Zm00001d002825
Sobic.006G161100	Zm00001d002826
Sobic.006G161000	Zm00001d002827
Sobic.006G160900	Zm00001d002828
Sobic.006G160800	Zm00001d002829
Sobic.006G160700	Zm00001d002830
Sobic.006G160500	Zm00001d002833
Sobic.006G160400	Zm00001d002834
Sobic.006G160000	Zm00001d002835
Sobic.006G159900	Zm00001d002836
Sobic.006G159600	Zm00001d002837
Sobic.006G159300	Zm00001d002842
Sobic.006G159200	Zm00001d002843
Sobic.006G159000	Zm00001d002844
Sobic.006G158900	Zm00001d002845
Sobic.006G158600	Zm00001d002847
Sobic.006G158700	Zm00001d002847
Sobic.006G158800	Zm00001d002847
Sobic.006G158400	Zm00001d002848
Sobic.006G158500	Zm00001d002848
Sobic.006G158000	Zm00001d002849
Sobic.006G157900	Zm00001d002850
Sobic.006G157800	Zm00001d002851
Sobic.006G157700	Zm00001d002853
Sobic.006G157600	Zm00001d002854
Sobic.006G157500	Zm00001d002856
Sobic.006G157300	Zm00001d002857
Sobic.006G157100	Zm00001d002859
Sobic.006G157000	Zm00001d002860
Sobic.006G156600	Zm00001d002864
Sobic.006G156300	Zm00001d002865
Sobic.006G156100	Zm00001d002867
