Taxa	AGY_HRB	AGY_Overall	AGY_Taian	EH_HRB	EH_Overall	EH_SH	EH_Taian	ERN_HRB	ERN_Overall	ERN_Taian	KR_HRB	KR_Overall	KR_Taian	PH_HRB	PH_Overall	PH_SH	PH_Taian
78010/han49	1.911127738	1.619289073	1.440810025	0.712904593	0.566776564	0.503641213	0.559130596	0.229196692	0.185136865	0.145619676	0.832304865	0.761435467	0.743658002	0.517331784	0.46346434	0.448451166	0.480210742
F7584/huangchangb	1.584205397	1.381360471	1.246395673	0.552016902	0.566560442	0.582802064	0.652048238	0.133972919	0.128372244	0.11315046	0.329805775	0.418543403	0.491894576	0.283448718	0.311937647	0.318640553	0.357412204
F7584/longkang1	0.201535863	0.140883517	0.143218259	0.197120498	0.249300513	0.282738326	0.332081045	0.027840831	0.091288548	0.145621025	0.075908558	0.049181112	-0.029954236	0.128071393	0.165468395	0.141080797	0.256068948
F7584/E28	1.732595246	1.425959432	1.147538878	0.343612255	0.392659255	0.43768415	0.456150129	0.245195598	0.231974081	0.201443335	0.565480895	0.520941056	0.452011085	0.372146312	0.380490838	0.383199245	0.406765414
F7584/A554	0.370476469	0.600923144	1.259991861	0.562961504	0.533077905	0.571147402	0.552841443	0.159681519	0.118659548	0.080167541	0.368807581	0.37304237	0.356501372	0.356402284	0.355160333	0.356963633	0.378170002
F7584/LH162	1.418994738	1.178755424	1.025468251	0.431708214	0.286105159	0.117273776	0.378671696	0.07578795	0.129720493	0.187604396	0.329767225	0.394162815	0.428031134	0.350946089	0.329352896	0.335173053	0.336663005
18/C521	NA	1.98618804	1.980221417	NA	0.354859995	NA	0.301119386	NA	0.010591966	0.011796988	NA	0.98683625	1.134051291	NA	0.30398584	NA	0.302756946
18/M3	1.591041469	1.695098862	1.910984685	0.664746095	0.498999521	0.456041381	0.442881518	0.089343561	0.150572363	0.217477596	0.767467559	0.850530124	1.012267984	0.385372011	0.353781714	0.365762985	0.33582142
18/MDF-13D	2.327196977	2.239554724	1.958674147	0.492836898	0.394322505	0.305595772	0.453127414	0.177440945	0.188960779	0.207066097	0.732413002	0.922825136	1.266350104	0.449892823	0.405023886	0.431388485	0.363456092
18/E8501	1.146560538	1.198261184	1.43896238	0.578004491	0.536956718	0.602276281	0.493009052	0.074139265	0.070231054	0.072354813	0.509127532	0.628561659	0.796603598	0.357868829	0.357903586	0.384394015	0.361480762
18/W968	1.250946634	1.251434524	1.283830818	0.608218182	0.557596625	0.544580275	0.585769002	0.057613703	0.044205692	0.029432531	0.568690314	0.583819146	0.632128828	0.455621631	0.447347385	0.442984722	0.476431834
18/LH162	1.400472564	1.460051626	1.714055613	0.438584512	0.295529213	0.254526501	0.247164041	0.164871944	0.168880886	0.173455963	0.366862328	0.446467267	0.534864502	0.43980628	0.4028562	0.402192687	0.417622258
18/zhangxi28	1.859781677	1.477137692	1.115709044	0.830352572	0.632733662	0.532482395	0.638933507	0.169460572	0.169014037	0.166291937	0.589494673	0.559098717	0.575456833	0.568961441	0.496294924	0.465115432	0.513020832
9702/equn3	1.353549294	0.933785305	0.567017029	0.628501812	0.597480789	0.630059221	0.618414225	0.063805737	0.02842621	-0.015102159	0.65833865	0.623168202	0.567682719	0.46886189	0.426743131	0.465946293	0.38033673
9702/longkang1	0.48815567	0.409095381	0.326349574	0.303919975	0.311941494	0.322960636	0.375353903	0.094229474	0.12708372	0.133800244	0.264821982	0.223383244	0.138063248	0.26480239	0.249676771	0.241266354	0.270701038
9702/84-126-15-1	1.436645254	1.044744287	0.806723878	0.486035623	0.411258687	0.344989719	0.461520302	0.124242584	0.13215649	0.109094382	0.425042776	0.42760875	0.391096374	0.502706907	0.462428027	0.490576562	0.430350243
9702/Lp215D	1.543438856	1.487227304	1.534591399	0.536278217	0.45417258	0.304838594	0.659575008	0.199247466	0.177094612	0.135382858	0.901335259	0.965549182	1.114440915	0.379400688	0.348248681	0.30167133	0.400479422
9702/LH162	1.674260307	1.268536916	0.899445014	0.472834177	0.27470338	0.042380641	0.403833705	0.091746244	0.106801436	0.110630017	0.476231944	0.481200812	0.461695455	0.508077843	0.43493149	0.412569481	0.431460434
9702/MO113	1.387354993	1.275958716	1.15976534	0.665801914	0.542305986	0.415825762	0.654850681	0.035693431	0.03901617	0.037018753	0.419646815	0.607468973	0.800061925	0.433667938	0.373090888	0.330444641	0.398652403
9702/PHG47	1.924386427	1.269367984	0.69364133	0.680623961	0.542750448	0.397012466	0.673030494	0.131169093	0.133070108	0.115629674	0.668492474	0.606982595	0.548127085	0.478267958	0.44776801	0.434907281	0.481186948
9702/han49	1.689602795	1.233026472	0.826326338	0.506299574	0.510853552	0.456385162	0.683324611	0.20290788	0.191769279	0.166214857	0.497837683	0.46866571	0.44242796	0.428630235	0.396015302	0.368564247	0.441649513
2005/D1139	3.351546313	2.667576685	2.083443702	0.777933724	0.583731236	0.400478162	0.728204902	0.323045066	0.291065363	0.261953796	0.742188028	0.778783408	0.855163155	0.584964975	0.465453964	0.357982871	0.538846823
2005/fu8701	3.0485193	2.924969405	2.752906061	0.670147797	0.58360705	0.481283962	0.695148578	0.246782176	0.234844629	0.219753401	1.237548111	1.256081434	1.33016205	0.552063037	0.493628664	0.420944705	0.555606555
2005/Z31B	2.268153725	2.177420915	2.088230602	0.692451565	0.54665838	0.390146119	0.656614612	0.300051923	0.287121528	0.275723455	0.701323857	0.766851215	0.845428502	0.535895879	0.506619776	0.420916306	0.618264387
20837/2005	2.527471991	2.497245618	2.568729233	0.770464827	0.458700226	0.161145662	0.639719921	0.193601738	0.22614348	0.264680416	0.954866597	0.95138194	0.975808257	0.53273219	0.40964472	0.213204567	0.575926963
20837/fu8701	2.718514727	2.27746574	1.715844724	0.661307598	0.590552224	0.503825825	0.701865775	0.038319263	0.050112169	0.072007783	1.316234367	1.100515973	0.952401069	0.533245722	0.466644799	0.367481304	0.556101917
mei68113/2005	2.753185579	2.519644742	2.333515131	0.8228428	0.684472428	0.501501241	0.853865418	0.279892635	0.369940719	0.468332142	0.855088511	0.906073805	1.059595735	0.511179676	0.479956938	0.413147031	0.548120154
mei68113/20837	2.75537165	2.473682388	2.17581982	0.680931026	0.506021974	0.376282639	0.552946953	0.201524937	0.293421281	0.400932642	0.9052411	0.95198785	1.108810161	0.481910301	0.416574716	0.324840891	0.483309982
chong72/20837	1.923451574	1.765251928	1.668667852	0.668023591	0.43425809	0.277835187	0.470974793	0.151019947	0.235290035	0.320090837	0.967569133	0.917806171	0.933970637	0.475303983	0.392553253	0.307112874	0.459340649
chong72/mei68113	2.17106252	2.00937339	1.923570163	0.615601783	0.393659408	0.351757007	0.280255899	0.212979262	0.32089331	0.431436095	0.854274905	1.029178302	1.441795961	0.391157182	0.338964528	0.348052582	0.334964091
91huang5/mei68113	4.358948343	3.636625595	2.85166386	0.776211789	0.668161707	0.632050518	0.649674505	0.179498658	0.254852959	0.33694172	0.807492851	1.073107211	1.546891428	0.666656549	0.64885063	0.647054924	0.661044169
91huang5/chong72	2.80432299	2.131056692	1.433733028	0.778004961	0.6409301	0.629550018	0.576925364	0.157747735	0.181327464	0.192720623	1.055989458	1.222420395	1.483883494	0.689927064	0.623929499	0.630521361	0.608456088
equn3/chong72	1.658252323	1.249197203	0.901457815	0.693419683	0.543103427	0.467632621	0.542136984	0.168106759	0.210373939	0.242875207	0.83557232	0.843004061	0.869751124	0.468493398	0.435633722	0.444445746	0.439205204
equn3/SC11-1	1.335873217	0.846810634	0.405568647	0.48823281	0.477692716	0.550341428	0.461580835	0.117577203	0.094639924	0.075504544	0.602008932	0.542965085	0.457863489	0.328327161	0.326726394	0.347078047	0.339946096
xingK36/HBAI	1.974092138	2.183688411	2.468589184	1.570846197	1.127878244	NA	0.911129176	0.219408969	0.223495417	0.216459735	1.031356934	1.113357638	1.112177069	1.075522284	0.824738393	NA	0.799007314
xingK36/dan598	1.56062639	1.556569095	1.601999835	0.959623944	0.797647233	0.811869929	0.694373954	0.083483076	0.131441069	0.174187777	0.786979069	0.756667209	0.721507911	0.608208226	0.531469344	0.503189673	0.521738282
xingK36/yu82	1.205792938	1.009544123	0.828353476	0.785380742	0.641020608	0.558877724	0.681914333	0.054884561	0.042921672	0.031985829	0.444528241	0.479694727	0.497565878	0.478705305	0.398596482	0.35150701	0.408042129
equn4/xingK36	1.171936485	0.93244768	0.755825981	0.567472606	0.534464806	0.578542876	0.526700344	0.018350294	0.021189601	0.037816264	0.799342997	0.730327811	0.65477877	0.504313679	0.443365954	0.413235575	0.457644442
equn4/dan598	1.829570322	1.396132358	1.012526348	0.678211445	0.606212121	0.622340686	0.573394323	0.092886525	0.127344666	0.152063018	0.95153718	0.82892039	0.709352977	0.532965347	0.481652909	0.431337681	0.519316606
equn4/yu82	1.431217689	1.056594624	0.763128242	0.562702741	0.441941699	0.351085458	0.51530988	0.044953607	0.056655884	0.067926675	0.776946305	0.787051001	0.799358006	0.40140286	0.369961529	0.324034283	0.456021287
LH93/xingK36	1.269590779	1.154241075	1.126147358	0.55661019	0.591128929	0.645750226	0.653863485	0.134226361	0.168020441	0.21030992	0.667433321	0.602437237	0.527926405	0.456468527	0.434222711	0.462205112	0.420790411
LH93/equn4	1.614916892	1.292701847	1.090525477	0.441184466	0.483488286	0.547295096	0.528411104	0.134226361	0.139908134	0.149341955	0.931788792	0.86020284	0.796973718	0.38153686	0.401324404	0.430377038	0.427289802
LH93/yu82	1.512158794	1.330784566	1.249657064	0.5302496	0.486624907	0.503474558	0.495451788	0.191694251	0.259125664	0.316696155	0.614512061	0.568158338	0.511452103	0.3525852	0.347583153	0.339084129	0.388280166
C521/xingK36	NA	1.514140288	1.801964416	NA	0.661618359	NA	0.609852008	NA	0.077643669	0.117517294	NA	0.955893958	0.986838981	NA	0.466577572	NA	0.455652621
C521/equn4	NA	1.529212055	1.30884026	NA	0.486672366	NA	0.531453606	NA	-0.012505045	-0.009003311	NA	1.106456632	0.985447529	NA	0.419939905	NA	0.47617402
W9706/wu109	1.167425152	1.374141202	2.170880911	0.574937857	0.427027724	0.383971293	0.373363192	-0.019233911	0.06786757	0.214368048	0.427999219	0.761003476	1.278282063	0.494134325	0.474738556	0.443591591	0.519561929
BM/wu109	1.27302577	1.156538588	1.041061413	0.49854766	0.433481519	0.429195561	0.419623568	0.071274156	0.050664952	0.032005232	0.40663707	0.489617044	0.558231234	0.49524851	0.441329008	0.452331643	0.400792929
BM/W9706	1.242545553	1.468176856	2.127097285	0.444605185	0.379985635	0.358856589	0.374707202	0.016158145	0.099807092	0.250096954	0.439772997	0.719068012	1.148176681	0.429979682	0.451508494	0.470215272	0.483402058
BM/HHe01	0.92489761	0.873340018	0.929399529	0.479739936	0.496134351	0.539337641	0.528321811	0.039021564	0.061312107	0.095566124	0.385923739	0.453962941	0.500264664	0.383011268	0.33617681	0.349029136	0.288279253
huangchangb/wu109	1.742004875	1.440110224	1.264141153	0.841924649	0.768500726	0.79533696	0.743653737	0.059559232	0.097360586	0.135895736	0.56201219	0.642797671	0.726297006	0.544992232	0.515271664	0.511646283	0.508472863
huangchangb/BM	1.374961688	1.141109848	0.969971942	0.481271518	0.517725481	0.542120884	0.615995088	0.107893995	0.145456686	0.186228035	0.412457018	0.485592048	0.546219411	0.391802026	0.40667303	0.424909417	0.428212765
niu2-1/75-364	1.940358268	1.796543464	1.66676047	0.509973655	0.525242886	0.699732262	0.404458508	0.146070826	0.102897069	0.069979227	0.707340252	0.797941582	0.944366185	0.413253587	0.391738041	0.377845435	0.419972335
niu2-1/S311	2.262361649	1.772905379	1.313813067	0.525588905	0.568179193	0.70433668	0.523536516	0.045688087	0.062205841	0.083317004	0.880714262	0.871101006	0.924228829	0.377588826	0.352784107	0.342688528	0.360418588
niu2-1/MBUB	1.6765855	1.920115397	2.445074906	0.49911978	0.491351446	0.608186485	0.418160234	0.160064398	0.167318831	0.169773633	0.575256423	0.85928563	1.294541699	0.365328256	0.347316399	0.322359089	0.385984871
99122/S311	0.421887897	0.372800552	0.378971907	0.517516341	0.510023152	0.588993389	0.513194798	0.070359652	0.122858593	0.160725341	0.302909812	0.386526054	0.447112798	0.272685408	0.261339969	0.259054359	0.303751748
99122/MBUB	0.437744975	0.50335774	0.634154932	0.522908252	0.441642688	0.475100476	0.41704371	0.09502709	0.162818285	0.219177916	0.293353842	0.33923653	0.350105075	0.26410104	0.258464981	0.229413982	0.34519465
PHK93/HB8229	1.765691515	2.006579525	2.317689834	0.458094416	0.454007191	NA	0.587717654	0.201677658	0.250754304	0.287567356	0.8357694	1.005863802	1.157815103	0.394614995	0.406778476	NA	0.512927255
PHK93/MDF-13D	1.362302567	1.7323803	2.564084563	0.428885883	0.51344465	0.576816519	0.626743649	0.103551801	0.140973621	0.196371447	0.823612816	1.099775595	1.544695807	0.369602117	0.422469695	0.48917375	0.435846944
PHK93/zhong451	0.943416324	1.036690145	1.332566752	0.41759047	0.41553646	0.479691746	0.402181261	0.047203413	0.091818994	0.143147492	0.482078028	0.531077331	0.572613614	0.372880958	0.365615936	0.371293944	0.391422153
SC-14/PHK93	1.246593783	1.28566864	1.394892775	0.560970425	0.556009799	0.673847115	0.490726117	0.111615154	0.115021335	0.116325011	0.42804745	0.531779292	0.633090952	0.405195087	0.389177004	0.409798237	0.368608224
SC-14/MDF-13D	1.746807498	1.779990872	2.004816067	0.394565639	0.401062935	0.415740248	0.457460781	0.072331968	0.101213768	0.135684681	0.89386407	1.121890503	1.438125503	0.409668594	0.374951308	0.405354103	0.331898105
SC-14/zhong451	1.520795954	0.984913144	0.502830786	0.475845907	0.399344901	0.447862671	0.302843435	0.146583289	0.139174825	0.123106158	0.610491501	0.467898099	0.307871288	0.430358743	0.3475515	0.343521988	0.30532138
M3/PHK93	1.108657062	1.539124738	2.494498865	0.617984627	0.643246179	0.798322159	0.597698522	0.06869194	0.108676067	0.160404023	0.708310788	0.928109738	1.228518137	0.315966117	0.376282937	0.413992963	0.423111588
M3/SC-14	1.546743892	1.383812022	1.330494872	0.592506208	0.52836715	0.523805251	0.562298491	0.170118861	0.170004925	0.163758655	0.743338032	0.703010832	0.647020361	0.417754161	0.375373144	0.375914362	0.359726891
M3/zhong451	1.702903137	1.703955496	1.851067547	0.526654514	0.468316217	0.499241479	0.430469499	0.1159211	0.134712747	0.154716538	0.769662733	0.838898281	0.928248259	0.419828639	0.368650432	0.358661485	0.355675818
SW153/PHK93	1.007972514	1.009040253	1.173888628	0.628171002	0.422151923	0.337228181	0.376661016	0.011952029	0.025315247	0.048771891	0.48798534	0.46120285	0.414272611	0.368861981	0.339517908	0.310687505	0.38302365
SW153/M3	1.761107318	1.875424461	2.22386715	1.085726047	0.909224649	0.951064373	0.808037249	0.102868061	0.118734987	0.138300565	0.966752607	0.923074761	0.891535	0.495052453	0.480149315	0.46439677	0.506281104
ji833/7236	1.751618032	1.045469081	0.719990117	0.365573736	0.390485581	0.457162861	0.389739733	0.118681852	0.11133212	0.100863074	0.549836262	0.50667359	0.465754024	0.361972391	0.351234113	0.35861139	0.346158661
ji833/xun971	2.215753828	1.354932555	0.851659259	0.508894527	0.500411353	0.523367325	0.503400694	0.12211304	0.143623302	0.159815576	0.508207327	0.479146418	0.414118458	0.41706369	0.373093358	0.354164968	0.367374261
ji833/yue39-4	2.572772522	1.917335081	1.582529151	0.662301526	0.64195401	0.635435841	0.710225978	0.077302189	0.079148059	0.092414541	0.950342138	0.778154766	0.680728845	0.468864385	0.463698283	0.408510228	0.569793402
qi35/yue39-4	4.234622844	2.676033711	1.64500985	0.714218361	0.521308645	0.445051986	0.452704587	0.197377966	0.114857829	0.073942258	2.01304444	1.42347717	1.141818037	0.44173057	0.385098009	0.329983889	0.442839145
GN4095/7236	2.197946489	1.142478429	0.53537259	0.499893477	0.537879872	0.650509935	0.507263127	0.033212303	0.017197924	0.004924654	0.827293281	0.64194418	0.497477248	0.38330303	0.33753556	0.379820798	0.266181691
GN4095/qi35	4.111241268	1.921660605	0.847072643	0.534663512	0.569786329	0.610988579	0.618490805	0.313559072	0.210436613	0.137165089	1.737543007	1.057939396	0.715489827	0.472344637	0.405714222	0.4025977	0.36579698
chang72/ji833	1.986490142	1.597165112	1.359419616	0.562671038	0.481932101	0.44256889	0.470187095	0.156402985	0.184870192	0.223844324	0.580040006	0.516296332	0.454142369	0.448967353	0.395775103	0.404019061	0.358170899
chang72/qi35	2.312424602	1.841782299	1.667532546	0.645129686	0.58083103	0.609344159	0.524215407	0.25769956	0.197684212	0.166983381	1.077134084	0.904180684	0.808832655	0.459206942	0.415772057	0.395414408	0.422968036
chang72/GN4095	1.847582941	1.226562049	0.820204102	0.772581502	0.668526452	0.76858268	0.494666094	0.066451035	0.064457263	0.07246618	0.796724647	0.710220345	0.667086004	0.558512201	0.46129478	0.492195001	0.359470255
nan21-3/qi35	3.671732097	2.914045148	1.974480107	0.412507034	0.446328584	0.528817174	0.444470517	0.286542424	0.252735427	0.246612201	1.449304501	1.152373774	0.981431702	0.416965268	0.401820927	0.392446937	0.427636282
nan21-3/GN4095	1.520823762	1.18020846	1.058672871	0.577525124	0.573188904	0.719142413	0.476128845	0.111417284	0.102458148	0.102541758	0.725268558	0.634054694	0.588809954	0.47924215	0.428334846	0.448864811	0.383358605
nan21-3/chang72	1.535894212	1.306628762	1.035042062	0.753160295	0.741897541	0.835495098	0.693888664	0.095896632	0.061125457	0.037970505	0.573815231	0.562397212	0.547244673	0.562521009	0.493729341	0.490071755	0.453142321
huobai/chang72	2.31398109	2.003927429	1.781316613	0.737130431	0.593112486	0.541173191	0.549174267	0.160642055	0.122151211	0.100212141	0.68579124	0.751997011	0.850198991	0.526495185	0.454802667	0.427992104	0.446935087
D15/E28	1.964388318	1.327869358	0.951284795	0.500725801	0.453770878	0.474212386	0.430760036	0.167372043	0.14256855	0.108537726	0.764500238	0.671749623	0.664215188	0.516062581	0.400707434	0.359088717	0.349287453
D15/K14	3.539328246	2.581168913	1.933138226	0.825498335	0.787449778	0.830008403	0.80542021	0.274008973	0.243821949	0.205015294	0.893216503	0.839213697	0.894783261	0.647061216	0.526748616	0.492238485	0.471730519
D15/yi36	1.815061567	1.581998709	1.619615604	0.411215099	0.328181358	0.31774742	0.294483986	0.097169759	0.112951549	0.119602043	0.570277393	0.68242863	0.912482606	0.501772024	0.402720538	0.344477146	0.408650059
SC-9/D15	2.052828124	1.517650301	1.112108419	0.535013321	0.556903031	0.578862392	0.632456528	0.05583926	0.058472539	0.061550727	0.59438414	0.558288604	0.570853333	0.393307324	0.34775111	0.305544535	0.367114613
SC-9/K14	3.100339122	2.136929984	1.422111914	0.996153674	0.871478305	0.934264814	0.771101278	0.102429565	0.066884969	0.034171023	0.952145291	0.838984913	0.731430963	0.607726572	0.532999494	0.536522999	0.492346967
96201/D15	2.6869322	2.161322166	1.736979347	0.481114504	0.480663762	0.495198659	0.526425131	0.063656289	0.059091431	0.058464139	0.916596331	0.839795587	0.878523801	0.464450013	0.36024308	0.306589842	0.332006377
96201/SC-9	1.761567091	1.408197767	1.274566751	0.467360093	0.436861136	0.456125095	0.42768189	0.032391598	0.002603935	-0.018627569	0.997326097	0.927248924	0.877587369	0.361702348	0.313658281	0.285083267	0.318810523
96201/yi36	2.182980161	2.024341455	2.135251245	0.531743264	0.380197802	0.348882479	0.291001	0.031532427	0.038956965	0.0492793	1.044100499	1.026986918	1.0829386	0.505150617	0.386467899	0.329333486	0.374662337
jian1495b/shen5005	1.835635743	1.49301386	1.301520303	0.632073928	0.475664409	0.491805474	0.351290736	0.010079651	0.028297637	0.044115074	0.218521774	0.382336327	0.57546659	0.454976973	0.355380082	0.333590424	0.317655179
jian1495b/Va26	1.484241016	1.320468458	1.158584068	0.576554565	0.446509654	0.387511938	0.428906238	0.043184143	0.054976814	0.056382358	0.458398301	0.515696416	0.547692294	0.418968016	0.343771455	0.309409962	0.318859588
SC30-1/jian1495b	1.481240289	1.077729411	0.687661272	0.612938942	0.485329806	0.445747026	0.443667687	0.050678658	0.040378364	0.009649659	0.433300353	0.44266255	0.417964318	0.409815595	0.350725135	0.353562223	0.307584502
SC30-1/shen5005	1.58621184	1.146968962	0.895143088	0.649534209	0.523155348	0.588148495	0.388741809	-0.000540411	0.014789945	0.020738871	0.447823762	0.520808517	0.614805682	0.444615405	0.404576533	0.437016362	0.375395317
SC30-1/Va26	1.060520274	1.025030104	1.14728481	0.657883614	0.49991648	0.534033043	0.345593672	0.04808644	0.062654263	0.059023808	0.471447127	0.473474441	0.448850351	0.416361878	0.338258535	0.323515671	0.291745147
SC30-1/NS501	0.672175986	0.555784463	0.459063508	0.694296979	0.550992447	0.683582933	0.324352574	-0.064056797	-0.051409464	-0.045136039	0.198153851	0.219504963	0.193763849	0.303497863	0.241170386	0.240598139	0.193237921
SC30-1/PHW30	1.448519928	1.20869136	1.090613848	0.582342316	0.578392785	0.679626847	0.529531124	0.018269339	0.002912991	-0.027329138	0.458531199	0.462864334	0.441600507	0.36410094	0.338174971	0.36762551	0.295351411
030-1/jian1495b	1.445436728	1.214664117	0.966585827	0.596961924	0.554025939	0.643212109	0.461130541	0.072725966	0.101270927	0.128696641	0.454365868	0.481016537	0.480297561	0.456481398	0.418048961	0.425697539	0.397352112
